 frequency              input_noise_VrtHz      output_noise_VrtHz    
 8.128305161640922e+00  3.829560073370601e-07  1.002736628831306e-02 
 8.317637711026638e+00  3.786150592425118e-07  9.913639137813424e-03 
 8.511380382023690e+00  3.743240400393706e-07  9.801217832601241e-03 
 8.709635899560730e+00  3.700823705907144e-07  9.690087133769679e-03 
 8.912509381337378e+00  3.658894785918606e-07  9.580231983947161e-03 
 9.120108393559018e+00  3.617447984887232e-07  9.471637521213111e-03 
 9.332543007969829e+00  3.576477713976426e-07  9.364289031215965e-03 
 9.549925860214275e+00  3.535978450256532e-07  9.258172010440128e-03 
 9.772372209558020e+00  3.495944735921772e-07  9.153272050987626e-03 
 9.999999999999911e+00  3.456371177512227e-07  9.049574995108335e-03 
 1.023292992280745e+01  3.417252445146981e-07  8.947066785277440e-03 
 1.047128548050890e+01  3.378583271772421e-07  8.845733557471236e-03 
 1.071519305237597e+01  3.340358452407372e-07  8.745561603305521e-03 
 1.096478196143175e+01  3.302572843405986e-07  8.646537364494323e-03 
 1.122018454301953e+01  3.265221361732204e-07  8.548647431277666e-03 
 1.148153621496872e+01  3.228298984232666e-07  8.451878591973683e-03 
 1.174897554939519e+01  3.191800746928955e-07  8.356217712935888e-03 
 1.202264434617402e+01  3.155721744309971e-07  8.261651876422374e-03 
 1.230268770812370e+01  3.120057128641099e-07  8.168168279652830e-03 
 1.258925411794155e+01  3.084802109272039e-07  8.075754266123834e-03 
 1.288249551693122e+01  3.049951951963647e-07  7.984397344417478e-03 
 1.318256738556395e+01  3.015501978213667e-07  7.894085144184585e-03 
 1.348962882591641e+01  2.981447564596139e-07  7.804805439071471e-03 
 1.380384264602872e+01  2.947784142107352e-07  7.716546148004569e-03 
 1.412537544622741e+01  2.914507195518004e-07  7.629295326375661e-03 
 1.445439770745913e+01  2.881612262738100e-07  7.543041157717521e-03 
 1.479108388168193e+01  2.849094934182346e-07  7.457771958709256e-03 
 1.513561248436193e+01  2.816950852148614e-07  7.373476177387731e-03 
 1.548816618912466e+01  2.785175710203043e-07  7.290142413419341e-03 
 1.584893192461098e+01  2.753765252569507e-07  7.207759359026246e-03 
 1.621810097358914e+01  2.722715273533266e-07  7.126315845399542e-03 
 1.659586907437544e+01  2.692021616841897e-07  7.045800843276446e-03 
 1.698243652461728e+01  2.661680175122157e-07  6.966203421240855e-03 
 1.737800828749359e+01  2.631686889301023e-07  6.887512792998788e-03 
 1.778279410038905e+01  2.602037748030452e-07  6.809718273130171e-03 
 1.819700858609966e+01  2.572728787125369e-07  6.732809299693171e-03 
 1.862087136662849e+01  2.543756089003049e-07  6.656775417833170e-03 
 1.905460717963228e+01  2.515115782130418e-07  6.581606309871872e-03 
 1.949844599758026e+01  2.486804040481940e-07  6.507291753021226e-03 
 1.995262314968860e+01  2.458817082998112e-07  6.433821624265436e-03 
 2.041737944669509e+01  2.431151173054101e-07  6.361185946046566e-03 
 2.089296130854019e+01  2.403802617934115e-07  6.289374811998719e-03 
 2.137962089502211e+01  2.376767768313467e-07  6.218378430320018e-03 
 2.187761623949531e+01  2.350043017742131e-07  6.148187132296907e-03 
 2.238721138568317e+01  2.323624802140681e-07  6.078791340789193e-03 
 2.290867652767750e+01  2.297509599299132e-07  6.010181561470100e-03 
 2.344228815319899e+01  2.271693928379501e-07  5.942348428426985e-03 
 2.398832919019467e+01  2.246174349431458e-07  5.875282642664133e-03 
 2.454708915685006e+01  2.220947462905278e-07  5.808975039934100e-03 
 2.511886431509555e+01  2.196009909176136e-07  5.743416525072227e-03 
 2.570395782768838e+01  2.171358368073562e-07  5.678598098818268e-03 
 2.630267991895355e+01  2.146989558414418e-07  5.614510851268794e-03 
 2.691534803926888e+01  2.122900237544152e-07  5.551145972433362e-03 
 2.754228703338138e+01  2.099087200880188e-07  5.488494740664751e-03 
 2.818382931264425e+01  2.075547281464952e-07  5.426548507092168e-03 
 2.884031503126576e+01  2.052277349520099e-07  5.365298722635970e-03 
 2.951209226666355e+01  2.029274312010689e-07  5.304736919670753e-03 
 3.019951720401985e+01  2.006535112209558e-07  5.244854701583606e-03 
 3.090295432513559e+01  1.984056729270138e-07  5.185643775405854e-03 
 3.162277660168347e+01  1.961836177805341e-07  5.127095907039217e-03 
 3.235936569296249e+01  1.939870507466444e-07  5.069202944891823e-03 
 3.311311214825876e+01  1.918156802534836e-07  5.011956815949500e-03 
 3.388441561391990e+01  1.896692181509731e-07  4.955349524115416e-03 
 3.467368504525280e+01  1.875473796708921e-07  4.899373144359579e-03 
 3.548133892335717e+01  1.854498833868693e-07  4.844019821318690e-03 
 3.630780547700975e+01  1.833764511751796e-07  4.789281776142337e-03 
 3.715352290971686e+01  1.813268081757463e-07  4.735151290359237e-03 
 3.801893963205572e+01  1.793006827539612e-07  4.681620724970833e-03 
 3.890451449942765e+01  1.772978064626076e-07  4.628682488386867e-03 
 3.981071705534930e+01  1.753179140044085e-07  4.576329061524032e-03 
 4.073802778041084e+01  1.733607431950340e-07  4.524552997769721e-03 
 4.168693834703309e+01  1.714260349265318e-07  4.473346905537032e-03 
 4.265795188015881e+01  1.695135331312333e-07  4.422703443305035e-03 
 4.365158322401612e+01  1.676229847458574e-07  4.372615337427477e-03 
 4.466835921509583e+01  1.657541396764157e-07  4.323075372658383e-03 
 4.570881896148700e+01  1.639067507633625e-07  4.274076375882013e-03 
 4.677351412871931e+01  1.620805737469304e-07  4.225611257025659e-03 
 4.786300923226331e+01  1.602753672334400e-07  4.177672936051423e-03 
 4.897788193684408e+01  1.584908926613271e-07  4.130254414661447e-03 
 5.011872336272667e+01  1.567269142682166e-07  4.083348734566966e-03 
 5.128613839913591e+01  1.549831990578502e-07  4.036948986896604e-03 
 5.248074602497667e+01  1.532595167678251e-07  3.991048300389494e-03 
 5.370317963702468e+01  1.515556398374594e-07  3.945639865740841e-03 
 5.495408738576185e+01  1.498713433762214e-07  3.900716891483797e-03 
 5.623413251903428e+01  1.482064051322994e-07  3.856272658388561e-03 
 5.754399373371505e+01  1.465606054617285e-07  3.812300469075059e-03 
 5.888436553555824e+01  1.449337272979532e-07  3.768793662167421e-03 
 6.025595860743510e+01  1.433255561215628e-07  3.725745625385579e-03 
 6.165950018614752e+01  1.417358799303890e-07  3.683149780951487e-03 
 6.309573444801861e+01  1.401644892101560e-07  3.640999576604541e-03 
 6.456542290346482e+01  1.386111769053273e-07  3.599288498632653e-03 
 6.606934480075886e+01  1.370757383902931e-07  3.558010073323254e-03 
 6.760829753919741e+01  1.355579714409240e-07  3.517157851810066e-03 
 6.918309709189286e+01  1.340576762065964e-07  3.476725407764835e-03 
 7.079457843841298e+01  1.325746551822423e-07  3.436706357071096e-03 
 7.244359600749817e+01  1.311087131810294e-07  3.397094338622064e-03 
 7.413102413009089e+01  1.296596573072712e-07  3.357883014947462e-03 
 7.585775750291749e+01  1.282272969295498e-07  3.319066072781299e-03 
 7.762471166286826e+01  1.268114436542587e-07  3.280637226354229e-03 
 7.943282347242722e+01  1.254119112995235e-07  3.242590214969741e-03 
 8.128305161640897e+01  1.240285158692002e-07  3.204918800761130e-03 
 8.317637711026612e+01  1.226610755274438e-07  3.167616766642714e-03 
 8.511380382023664e+01  1.213094105735203e-07  3.130677911825379e-03 
