 sweep_vcmfb            sweep_voutp            sweep_voutn            sweep_voutcm           sweep_vod             
 4.800000000000000e-03  3.582780136081003e-07  3.582780136072051e-07  3.582780136076527e-07  8.951550065701853e-19 
 4.900000000000000e-03  3.582780129363338e-07  3.582780129384722e-07  3.582780129374030e-07 -2.138387614902685e-18 
 5.000000000000000e-03  3.582780123044578e-07  3.582780123047734e-07  3.582780123046156e-07 -3.155727124114303e-19 
 5.100000000000000e-03  3.582780115985889e-07  3.582780115981784e-07  3.582780115983837e-07  4.104933420631153e-19 
 5.200000000000001e-03  3.582780109526126e-07  3.582780109532751e-07  3.582780109529438e-07 -6.624327043120663e-19 
 5.300000000000001e-03  3.582780102759500e-07  3.582780102757569e-07  3.582780102758534e-07  1.931235119739805e-19 
 5.400000000000001e-03  3.582780095911846e-07  3.582780095933739e-07  3.582780095922792e-07 -2.189262531297146e-18 
 5.500000000000001e-03  3.582780088914149e-07  3.582780088932839e-07  3.582780088923494e-07 -1.869031137675817e-18 
 5.600000000000002e-03  3.582780082054090e-07  3.582780082082169e-07  3.582780082068129e-07 -2.807914220148006e-18 
 5.700000000000002e-03  3.582780075889569e-07  3.582780075882080e-07  3.582780075885824e-07  7.488830044912083e-19 
 5.800000000000002e-03  3.582780068669249e-07  3.582780068668430e-07  3.582780068668840e-07  8.189749808765016e-20 
 5.900000000000002e-03  3.582780062210153e-07  3.582780062232972e-07  3.582780062221563e-07 -2.281959699462289e-18 
 6.000000000000003e-03  3.582780055641091e-07  3.582780055631935e-07  3.582780055636513e-07  9.155896764226953e-19 
 6.100000000000003e-03  3.582780048533206e-07  3.582780048562161e-07  3.582780048547684e-07 -2.895476251070419e-18 
 6.200000000000003e-03  3.582780041821495e-07  3.582780041803135e-07  3.582780041812314e-07  1.835996852732899e-18 
 6.300000000000004e-03  3.582780035199543e-07  3.582780035222639e-07  3.582780035211091e-07 -2.309594149366460e-18 
 6.400000000000004e-03  3.582780028415434e-07  3.582780028413820e-07  3.582780028414627e-07  1.613597764519442e-19 
 6.500000000000004e-03  3.582780021391073e-07  3.582780021372216e-07  3.582780021381645e-07  1.885654159265683e-18 
 6.600000000000004e-03  3.582780014750759e-07  3.582780014739330e-07  3.582780014745044e-07  1.142912143642068e-18 
 6.700000000000005e-03  3.582780008096761e-07  3.582780008079450e-07  3.582780008088105e-07  1.731070646391773e-18 
 6.800000000000005e-03  3.582780001590026e-07  3.582780001615273e-07  3.582780001602649e-07 -2.524687578409849e-18 
 6.900000000000005e-03  3.582779994654724e-07  3.582779994653452e-07  3.582779994654088e-07  1.272137607657552e-19 
 7.000000000000005e-03  3.582779987691956e-07  3.582779987674677e-07  3.582779987683317e-07  1.727841333280366e-18 
 7.100000000000006e-03  3.582779981326716e-07  3.582779981310292e-07  3.582779981318504e-07  1.642449824285292e-18 
 7.200000000000006e-03  3.582779974404705e-07  3.582779974425364e-07  3.582779974415035e-07 -2.065966297912442e-18 
 7.300000000000006e-03  3.582779967283553e-07  3.582779967295897e-07  3.582779967289725e-07 -1.234391701945533e-18 
 7.400000000000006e-03  3.582779960610126e-07  3.582779960639932e-07  3.582779960625029e-07 -2.980656001828679e-18 
 7.500000000000007e-03  3.582779954094154e-07  3.582779954088249e-07  3.582779954091201e-07  5.904349037954507e-19 
 7.600000000000007e-03  3.582779947377195e-07  3.582779947389616e-07  3.582779947383405e-07 -1.242120877589228e-18 
 7.700000000000007e-03  3.582779940747886e-07  3.582779940742183e-07  3.582779940745035e-07  5.702649317389577e-19 
 7.800000000000007e-03  3.582779933581729e-07  3.582779933571609e-07  3.582779933576669e-07  1.012045553291279e-18 
 7.900000000000008e-03  3.582779927321327e-07  3.582779927302057e-07  3.582779927311692e-07  1.926999955003533e-18 
 8.000000000000007e-03  3.582779920554600e-07  3.582779920556450e-07  3.582779920555525e-07 -1.849708198566578e-19 
 8.100000000000007e-03  3.582779913628530e-07  3.582779913641819e-07  3.582779913635174e-07 -1.328941754682794e-18 
 8.200000000000006e-03  3.582779907095577e-07  3.582779907109621e-07  3.582779907102599e-07 -1.404433566106833e-18 
 8.300000000000005e-03  3.582779899641094e-07  3.582779899651895e-07  3.582779899646494e-07 -1.080072886867640e-18 
 8.400000000000005e-03  3.582779893138864e-07  3.582779893121133e-07  3.582779893129999e-07  1.773051716840064e-18 
 8.500000000000004e-03  3.582779886733523e-07  3.582779886730341e-07  3.582779886731932e-07  3.182726299308034e-19 
 8.600000000000003e-03  3.582779879309710e-07  3.582779879463924e-07  3.582779879386817e-07 -1.542145241462622e-17 
 8.700000000000003e-03  3.582779872664572e-07  3.582779872914130e-07  3.582779872789351e-07 -2.495581408759823e-17 
 8.800000000000002e-03  3.582779866056651e-07  3.582779866053427e-07  3.582779866055039e-07  3.224548551078715e-19 
 8.900000000000002e-03  3.582779859259015e-07  3.582779859266608e-07  3.582779859262811e-07 -7.593120976542769e-19 
 9.000000000000001e-03  3.582779852394874e-07  3.582779852395002e-07  3.582779852394938e-07 -1.270549420881451e-20 
 9.100000000000000e-03  3.582779845916087e-07  3.582779845898202e-07  3.582779845907144e-07  1.788563007686659e-18 
 9.200000000000000e-03  3.582779839105759e-07  3.582779839132370e-07  3.582779839119065e-07 -2.661059882917791e-18 
 9.299999999999999e-03  3.582779832281494e-07  3.582779832268154e-07  3.582779832274824e-07  1.334023952366320e-18 
 9.399999999999999e-03  3.582779825553809e-07  3.582779825533353e-07  3.582779825543581e-07  2.045637507178339e-18 
 9.499999999999998e-03  3.582779818494017e-07  3.582779818522184e-07  3.582779818508101e-07 -2.816755126534972e-18 
 9.599999999999997e-03  3.582779811864374e-07  3.582779811848212e-07  3.582779811856293e-07  1.616191802920408e-18 
 9.699999999999997e-03  3.582779805429513e-07  3.582779805432477e-07  3.582779805430995e-07 -2.964615315390051e-19 
 9.799999999999996e-03  3.582779798551328e-07  3.582779798565941e-07  3.582779798558635e-07 -1.461343592250482e-18 
 9.899999999999996e-03  3.582779792062846e-07  3.582779792057514e-07  3.582779792060180e-07  5.332072402965821e-19 
 9.999999999999995e-03  3.582779784939626e-07  3.582779784964369e-07  3.582779784951998e-07 -2.474342057607421e-18 
 1.009999999999999e-02  3.582779778099795e-07  3.582779778082773e-07  3.582779778091284e-07  1.702165647066720e-18 
 1.019999999999999e-02  3.582779771459942e-07  3.582779771446594e-07  3.582779771453268e-07  1.334818045754371e-18 
 1.029999999999999e-02  3.582779764689634e-07  3.582779764703948e-07  3.582779764696791e-07 -1.431432741300564e-18 
