 frequency              onoise_spectrum       
 2.137962089502211e+01  6.800681630917485e-03 
 2.187761623949531e+01  6.721552698189901e-03 
 2.238721138568317e+01  6.643345818380604e-03 
 2.290867652767750e+01  6.566048895474384e-03 
 2.344228815319899e+01  6.489651126154818e-03 
 2.398832919019467e+01  6.414139765624176e-03 
 2.454708915685006e+01  6.339504222966206e-03 
 2.511886431509555e+01  6.265732570785170e-03 
 2.570395782768838e+01  6.192813984951710e-03 
 2.630267991895355e+01  6.120737039519874e-03 
 2.691534803926888e+01  6.049490964220713e-03 
 2.754228703338138e+01  5.979064539409482e-03 
 2.818382931264425e+01  5.909447051186650e-03 
 2.884031503126576e+01  5.840627873289572e-03 
 2.951209226666355e+01  5.772595691068054e-03 
 3.019951720401985e+01  5.705340839735553e-03 
 3.090295432513559e+01  5.638852187598330e-03 
 3.162277660168347e+01  5.573119713638221e-03 
 3.235936569296249e+01  5.508132846995997e-03 
 3.311311214825876e+01  5.443881473446306e-03 
 3.388441561391990e+01  5.380355311256411e-03 
 3.467368504525280e+01  5.317544634319899e-03 
 3.548133892335717e+01  5.255438837098766e-03 
 3.630780547700975e+01  5.194028454513056e-03 
 3.715352290971686e+01  5.133303269178445e-03 
 3.801893963205572e+01  5.073253824395299e-03 
 3.890451449942765e+01  5.013870377924169e-03 
 3.981071705534930e+01  4.955142921025463e-03 
 4.073802778041084e+01  4.897061956956446e-03 
 4.168693834703309e+01  4.839618042609331e-03 
 4.265795188015881e+01  4.782801574935211e-03 
 4.365158322401612e+01  4.726603220639763e-03 
 4.466835921509583e+01  4.671013488122924e-03 
 4.570881896148700e+01  4.616023146531891e-03 
 4.677351412871931e+01  4.561622808479895e-03 
 4.786300923226331e+01  4.507803338668679e-03 
 4.897788193684408e+01  4.454555251129705e-03 
 5.011872336272667e+01  4.401869991338055e-03 
 5.128613839913591e+01  4.349737680845033e-03 
 5.248074602497667e+01  4.298149937957471e-03 
 5.370317963702468e+01  4.247097363867553e-03 
 5.495408738576185e+01  4.196571262447226e-03 
 5.623413251903428e+01  4.146562418531380e-03 
 5.754399373371505e+01  4.097062027553731e-03 
 5.888436553555824e+01  4.048061141512765e-03 
 6.025595860743510e+01  3.999550941496031e-03 
 6.165950018614752e+01  3.951522817190519e-03 
 6.309573444801861e+01  3.903968101141700e-03 
 6.456542290346482e+01  3.856877741074524e-03 
 6.606934480075886e+01  3.810243152312219e-03 
 6.760829753919741e+01  3.764055945774087e-03 
 6.918309709189286e+01  3.718307277557563e-03 
 7.079457843841298e+01  3.672988594140092e-03 
 7.244359600749817e+01  3.628091383470402e-03 
 7.413102413009089e+01  3.583607253304534e-03 
 7.585775750291749e+01  3.539527625923864e-03 
 7.762471166286826e+01  3.495844426338389e-03 
 7.943282347242722e+01  3.452548880316480e-03 
 8.128305161640897e+01  3.409633087292127e-03 
 8.317637711026612e+01  3.367088685175307e-03 
 8.511380382023664e+01  3.324907452317758e-03 
 8.709635899560703e+01  3.283081444069903e-03 
 8.912509381337350e+01  3.241602575244902e-03 
 9.120108393558989e+01  3.200462775294395e-03 
 9.332543007969799e+01  3.159654392847208e-03 
 9.549925860214246e+01  3.119169466427734e-03 
 9.772372209557990e+01  3.079000397600220e-03 
 9.999999999999881e+01  3.039139625673336e-03 
 1.023292992280742e+02  2.999579824980500e-03 
 1.047128548050887e+02  2.960313482092105e-03 
 1.071519305237593e+02  2.921333404508621e-03 
 1.096478196143172e+02  2.882632598164347e-03 
 1.122018454301950e+02  2.844204046740295e-03 
 1.148153621496869e+02  2.806041183062092e-03 
 1.174897554939515e+02  2.768137382715052e-03 
 1.202264434617398e+02  2.730486050724412e-03 
 1.230268770812366e+02  2.693081229992976e-03 
 1.258925411794152e+02  2.655916900668150e-03 
 1.288249551693118e+02  2.618987273159790e-03 
 1.318256738556391e+02  2.582286752520752e-03 
 1.348962882591637e+02  2.545810297803465e-03 
 1.380384264602868e+02  2.509552835293716e-03 
 1.412537544622737e+02  2.473509583278358e-03 
 1.445439770745910e+02  2.437676203198107e-03 
 1.479108388168189e+02  2.402048576901230e-03 
 1.513561248436189e+02  2.366623005283779e-03 
 1.548816618912462e+02  2.331396043062101e-03 
 1.584893192461094e+02  2.296364647295666e-03 
