 time                   tr_vin                 tr_vout                tr_err                 tr_vin_diff            tr_idd                 tr_iout               
 1.930275000000380e-05  1.000000000000000e+00  9.999931303445878e-01 -6.869655412189424e-06  6.869655412189424e-06  7.954132534375246e-04  4.427569467329184e-15 
 1.930325000000380e-05  1.000000000000000e+00  9.999931303445784e-01 -6.869655421626319e-06  6.869655421626319e-06  7.954132533606998e-04 -6.001865682728671e-15 
 1.930375000000380e-05  1.000000000000000e+00  9.999931303439876e-01 -6.869656012375991e-06  6.869656012375991e-06  7.954132532881260e-04 -1.814326475554991e-14 
 1.930425000000380e-05  1.000000000000000e+00  9.999931303427640e-01 -6.869657235952786e-06  6.869657235952786e-06  7.954132532203287e-04 -1.249555983587797e-14 
 1.930475000000380e-05  1.000000000000000e+00  9.999931303427381e-01 -6.869657261932005e-06  6.869657261932005e-06  7.954132531297530e-04  7.952526965723596e-15 
 1.930525000000380e-05  1.000000000000000e+00  9.999931303435593e-01 -6.869656440700034e-06  6.869656440700034e-06  7.954132531353175e-04  1.677324943708012e-14 
 1.930575000000381e-05  1.000000000000000e+00  9.999931303444154e-01 -6.869655584607059e-06  6.869655584607059e-06  7.954132532346982e-04  2.506106481828399e-14 
 1.930625000000381e-05  1.000000000000000e+00  9.999931303460654e-01 -6.869653934593600e-06  6.869653934593600e-06  7.954132532492044e-04  1.561861624743748e-14 
 1.930675000000381e-05  1.000000000000000e+00  9.999931303459773e-01 -6.869654022745308e-06  6.869654022745308e-06  7.954132534345386e-04 -1.093458639571763e-14 
 1.930725000000381e-05  1.000000000000000e+00  9.999931303449719e-01 -6.869655028052257e-06  6.869655028052257e-06  7.954132532505346e-04 -1.834088437939904e-14 
 1.930775000000381e-05  1.000000000000000e+00  9.999931303441432e-01 -6.869655856833745e-06  6.869655856833745e-06  7.954132534362040e-04 -5.206945933010090e-15 
 1.930825000000381e-05  1.000000000000000e+00  9.999931303444513e-01 -6.869655548746856e-06  6.869655548746856e-06  7.954132531148086e-04 -3.292920668400409e-15 
 1.930875000000381e-05  1.000000000000000e+00  9.999931303438139e-01 -6.869656186125894e-06  6.869656186125894e-06  7.954132532672603e-04 -7.039924038306144e-15 
 1.930925000000381e-05  1.000000000000000e+00  9.999931303437473e-01 -6.869656252739276e-06  6.869656252739276e-06  7.954132533903502e-04 -8.373302332900639e-15 
 1.930975000000381e-05  1.000000000000000e+00  9.999931303429765e-01 -6.869657023456099e-06  6.869657023456099e-06  7.954132531912321e-04 -6.524781175112502e-15 
 1.931025000000382e-05  1.000000000000000e+00  9.999931303430948e-01 -6.869656905217347e-06  6.869656905217347e-06  7.954132534575849e-04 -1.174615818832788e-15 
 1.931075000000382e-05  1.000000000000000e+00  9.999931303428591e-01 -6.869657140917695e-06  6.869657140917695e-06  7.954132532218219e-04  1.125544057443516e-14 
 1.931125000000382e-05  1.000000000000000e+00  9.999931303442203e-01 -6.869655779673245e-06  6.869655779673245e-06  7.954132535724122e-04  1.613376002832686e-14 
 1.931175000000382e-05  1.000000000000000e+00  9.999931303444725e-01 -6.869655527541596e-06  6.869655527541596e-06  7.954132531939309e-04  1.654010256847732e-14 
 1.931225000000382e-05  1.000000000000000e+00  9.999931303458743e-01 -6.869654125662983e-06  6.869654125662983e-06  7.954132529078192e-04  1.474265144796910e-14 
 1.931275000000382e-05  1.000000000000000e+00  9.999931303459467e-01 -6.869654053276442e-06  6.869654053276442e-06  7.954132532848509e-04  9.114930930220587e-16 
 1.931325000000382e-05  1.000000000000000e+00  9.999931303459655e-01 -6.869654034513673e-06  6.869654034513673e-06  7.954132531893615e-04  8.609778958041117e-15 
 1.931375000000382e-05  1.000000000000000e+00  9.999931303468077e-01 -6.869653192298486e-06  6.869653192298486e-06  7.954132531712317e-04  2.758903616786089e-15 
 1.931425000000382e-05  1.000000000000000e+00  9.999931303462414e-01 -6.869653758623251e-06  6.869653758623251e-06  7.954132533906047e-04 -1.822875221632635e-14 
 1.931475000000383e-05  1.000000000000000e+00  9.999931303449848e-01 -6.869655015173670e-06  6.869655015173670e-06  7.954132534585663e-04 -4.928280759545250e-15 
 1.931525000000383e-05  1.000000000000000e+00  9.999931303457485e-01 -6.869654251451252e-06  6.869654251451252e-06  7.954132533907469e-04 -4.005684181034455e-15 
 1.931575000000383e-05  1.000000000000000e+00  9.999931303445843e-01 -6.869655415742137e-06  6.869655415742137e-06  7.954132532867576e-04 -2.480349257226839e-14 
 1.931625000000383e-05  1.000000000000000e+00  9.999931303432682e-01 -6.869656731800511e-06  6.869656731800511e-06  7.954132533977574e-04 -2.535860410727758e-14 
 1.931675000000383e-05  1.000000000000000e+00  9.999931303420484e-01 -6.869657951602548e-06  6.869657951602548e-06  7.954132534581845e-04  9.037215749317828e-15 
 1.931725000000383e-05  1.000000000000000e+00  9.999931303441719e-01 -6.869655828078969e-06  6.869655828078969e-06  7.954132533943268e-04  2.933653291873016e-14 
 1.931775000000383e-05  1.000000000000000e+00  9.999931303449821e-01 -6.869655017949228e-06  6.869655017949228e-06  7.954132533933150e-04  2.779776447778366e-14 
 1.931825000000383e-05  1.000000000000000e+00  9.999931303469517e-01 -6.869653048302560e-06  6.869653048302560e-06  7.954132531924937e-04  2.569611270224794e-14 
 1.931875000000383e-05  1.000000000000000e+00  9.999931303475517e-01 -6.869652448338037e-06  6.869652448338037e-06  7.954132535728327e-04  2.703392995123735e-14 
 1.931925000000384e-05  1.000000000000000e+00  9.999931303496551e-01 -6.869650344909495e-06  6.869650344909495e-06  7.954132535060685e-04  2.814748338655490e-14 
 1.931975000000384e-05  1.000000000000000e+00  9.999931303503664e-01 -6.869649633589603e-06  6.869649633589603e-06  7.954132532485727e-04  1.218469753084283e-14 
 1.932025000000384e-05  1.000000000000000e+00  9.999931303508736e-01 -6.869649126439725e-06  6.869649126439725e-06  7.954132533622379e-04  9.776623958894471e-15 
 1.932075000000384e-05  1.000000000000000e+00  9.999931303513441e-01 -6.869648655927207e-06  6.869648655927207e-06  7.954132534389084e-04  3.843592107472958e-15 
 1.932125000000384e-05  1.000000000000000e+00  9.999931303512579e-01 -6.869648742080514e-06  6.869648742080514e-06  7.954132533939171e-04  9.903189717697683e-16 
 1.932175000000384e-05  1.000000000000000e+00  9.999931303514431e-01 -6.869648556895314e-06  6.869648556895314e-06  7.954132531929461e-04  4.696245954708262e-16 
 1.932225000000384e-05  1.000000000000000e+00  9.999931303513049e-01 -6.869648695118080e-06  6.869648695118080e-06  7.954132534386761e-04  9.687805273521380e-15 
 1.932275000000384e-05  1.000000000000000e+00  9.999931303524119e-01 -6.869647588114702e-06  6.869647588114702e-06  7.954132533628198e-04  2.956634972347854e-14 
 1.932325000000384e-05  1.000000000000000e+00  9.999931303542615e-01 -6.869645738483143e-06  6.869645738483143e-06  7.954132535329011e-04  3.592681701331030e-14 
 1.932375000000384e-05  1.000000000000000e+00  9.999931303560046e-01 -6.869643995432995e-06  6.869643995432995e-06  7.954132532217303e-04  8.252288594782140e-15 
 1.932425000000385e-05  1.000000000000000e+00  9.999931303550867e-01 -6.869644913254369e-06  6.869644913254369e-06  7.954132534579208e-04 -8.107958956590776e-15 
 1.932475000000385e-05  1.000000000000000e+00  9.999931303551938e-01 -6.869644806228870e-06  6.869644806228870e-06  7.954132534191838e-04  1.234456972407399e-14 
 1.932525000000385e-05  1.000000000000000e+00  9.999931303563212e-01 -6.869643678797388e-06  6.869643678797388e-06  7.954132532872328e-04  5.895283537172650e-16 
 1.932575000000385e-05  1.000000000000000e+00  9.999931303552527e-01 -6.869644747276027e-06  6.869644747276027e-06  7.954132535118973e-04 -1.840638748058866e-14 
 1.932625000000385e-05  1.000000000000000e+00  9.999931303544806e-01 -6.869645519436141e-06  6.869645519436141e-06  7.954132532673030e-04  8.344436891538960e-15 
 1.932675000000385e-05  1.000000000000000e+00  9.999931303560872e-01 -6.869643912832402e-06  6.869643912832402e-06  7.954132533924031e-04  3.066658032952353e-14 
 1.932725000000385e-05  1.000000000000000e+00  9.999931303575472e-01 -6.869642452778102e-06  6.869642452778102e-06  7.954132532221348e-04  2.182920550086102e-14 
 1.932775000000385e-05  1.000000000000000e+00  9.999931303582701e-01 -6.869641729911891e-06  6.869641729911891e-06  7.954132532225884e-04  9.257039793685209e-15 
 1.932825000000385e-05  1.000000000000000e+00  9.999931303584729e-01 -6.869641527074144e-06  6.869641527074144e-06  7.954132533904627e-04 -5.428989236855607e-16 
