 frequency              vavdd_real             vavdd_imag             vout_real              vout_imag             
 1.584893192461118e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128610824745e-01  3.504860277884251e-05 
 1.603245390690046e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128611233734e-01  3.545444646952149e-05 
 1.621810097358934e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128611652101e-01  3.586498960858039e-05 
 1.640589773199544e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128612080416e-01  3.628028661306415e-05 
 1.659586907437565e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128612518821e-01  3.670039253013594e-05 
 1.678804018122565e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128612967316e-01  3.712536304437785e-05 
 1.698243652461750e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128613426184e-01  3.755525448516903e-05 
 1.717908387157593e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128613895853e-01  3.799012383414759e-05 
 1.737800828749381e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128614376322e-01  3.843002873277485e-05 
 1.757923613958698e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128614868160e-01  3.887502748995982e-05 
 1.778279410038928e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128615371366e-01  3.932517908980305e-05 
 1.798870915128794e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128615886225e-01  3.978054319940732e-05 
 1.819700858609989e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128616413164e-01  4.024118017678739e-05 
 1.840772001468962e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128616952182e-01  4.070715107887192e-05 
 1.862087136662874e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128617504131e-01  4.117851766959290e-05 
 1.883649089489807e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128618068728e-01  4.165534242807507e-05 
 1.905460717963254e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128618646542e-01  4.213768855692138e-05 
 1.927524913190943e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128619237713e-01  4.262561999058175e-05 
 1.949844599758052e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128619842527e-01  4.311920140383605e-05 
