 frequency       in_noise        out_noise      
 5.00000000e+00  1.98825063e-06  8.41777379e-02 
 5.11646496e+00  1.96588332e-06  8.32298970e-02 
 5.23564274e+00  1.94377000e-06  8.22927882e-02 
 5.35759653e+00  1.92190774e-06  8.13662873e-02 
 5.48239098e+00  1.90029366e-06  8.04502714e-02 
 5.61009227e+00  1.87892492e-06  7.95446191e-02 
 5.74076811e+00  1.85779871e-06  7.86492102e-02 
 5.87448777e+00  1.83691223e-06  7.77639261e-02 
 6.01132217e+00  1.81626275e-06  7.68886494e-02 
 6.15134385e+00  1.79584754e-06  7.60232639e-02 
 6.29462706e+00  1.77566392e-06  7.51676549e-02 
 6.44124776e+00  1.75570923e-06  7.43217089e-02 
 6.59128369e+00  1.73598085e-06  7.34853137e-02 
 6.74481441e+00  1.71647619e-06  7.26583582e-02 
 6.90192132e+00  1.69719268e-06  7.18407328e-02 
 7.06268772e+00  1.67812778e-06  7.10323289e-02 
 7.22719885e+00  1.65927901e-06  7.02330392e-02 
 7.39554194e+00  1.64064387e-06  6.94427575e-02 
 7.56780624e+00  1.62221993e-06  6.86613789e-02 
 7.74408309e+00  1.60400476e-06  6.78887995e-02 
 7.92446596e+00  1.58599597e-06  6.71249166e-02 
 8.10905049e+00  1.56819121e-06  6.63696288e-02 
 8.29793454e+00  1.55058813e-06  6.56228355e-02 
 8.49121826e+00  1.53318444e-06  6.48844373e-02 
 8.68900414e+00  1.51597784e-06  6.41543360e-02 
 8.89139705e+00  1.49896609e-06  6.34324344e-02 
 9.09850429e+00  1.48214695e-06  6.27186362e-02 
 9.31043568e+00  1.46551822e-06  6.20128463e-02 
 9.52730359e+00  1.44907773e-06  6.13149706e-02 
 9.74922300e+00  1.43282332e-06  6.06249159e-02 
 9.97631157e+00  1.41675286e-06  5.99425901e-02 
 1.02086897e+01  1.40086425e-06  5.92679019e-02 
 1.04464807e+01  1.38515542e-06  5.86007612e-02 
 1.06898104e+01  1.36962431e-06  5.79410787e-02 
 1.09388081e+01  1.35426889e-06  5.72887659e-02 
 1.11936057e+01  1.33908715e-06  5.66437355e-02 
 1.14543383e+01  1.32407710e-06  5.60059008e-02 
 1.17211441e+01  1.30923680e-06  5.53751763e-02 
 1.19941646e+01  1.29456429e-06  5.47514771e-02 
 1.22735446e+01  1.28005767e-06  5.41347193e-02 
 1.25594322e+01  1.26571503e-06  5.35248198e-02 
 1.28519789e+01  1.25153451e-06  5.29216962e-02 
 1.31513400e+01  1.23751426e-06  5.23252672e-02 
 1.34576740e+01  1.22365245e-06  5.17354521e-02 
 1.37711435e+01  1.20994727e-06  5.11521709e-02 
 1.40919147e+01  1.19639693e-06  5.05753447e-02 
 1.44201575e+01  1.18299967e-06  5.00048949e-02 
 1.47560461e+01  1.16975374e-06  4.94407441e-02 
 1.50997586e+01  1.15665742e-06  4.88828153e-02 
 1.54514772e+01  1.14370899e-06  4.83310323e-02 
 1.58113883e+01  1.13090678e-06  4.77853198e-02 
 1.61796828e+01  1.11824912e-06  4.72456029e-02 
 1.65565561e+01  1.10573436e-06  4.67118075e-02 
 1.69422078e+01  1.09336087e-06  4.61838601e-02 
 1.73368425e+01  1.08112705e-06  4.56616880e-02 
 1.77406695e+01  1.06903129e-06  4.51452190e-02 
 1.81539027e+01  1.05707203e-06  4.46343816e-02 
 1.85767615e+01  1.04524772e-06  4.41291047e-02 
 1.90094698e+01  1.03355681e-06  4.36293181e-02 
 1.94522572e+01  1.02199780e-06  4.31349520e-02 
 1.99053585e+01  1.01056916e-06  4.26459371e-02 
 2.03690139e+01  9.99269436e-07  4.21622048e-02 
 2.08434692e+01  9.88097142e-07  4.16836869e-02 
 2.13289759e+01  9.77050834e-07  4.12103159e-02 
 2.18257916e+01  9.66129078e-07  4.07420246e-02 
 2.23341796e+01  9.55330456e-07  4.02787465e-02 
 2.28544095e+01  9.44653569e-07  3.98204153e-02 
 2.33867571e+01  9.34097031e-07  3.93669655e-02 
 2.39315046e+01  9.23659474e-07  3.89183319e-02 
 2.44889410e+01  9.13339546e-07  3.84744497e-02 
 2.50593617e+01  9.03135908e-07  3.80352546e-02 
 2.56430692e+01  8.93047240e-07  3.76006826e-02 
 2.62403730e+01  8.83072233e-07  3.71706703e-02 
