 time                   v(VDIFFCMD)            tr_vin_diff            v(OUTP)                v(OUTN)                tr_voutcm              tr_voutdiff            v(VOCM)                tr_idd                
 9.836400000000331e-07  0.000000000000000e+00  2.093345496945176e-10  1.649931382408887e+00  1.649931382831469e+00  1.649931382620178e+00 -4.225813032832093e-10  1.649931300123547e+00  1.670955891173832e-03 
 9.841400000000331e-07  0.000000000000000e+00  2.093778483924780e-10  1.649931382409179e+00  1.649931382831722e+00  1.649931382620450e+00 -4.225433336557671e-10  1.649931300123834e+00  1.670955891153760e-03 
 9.846400000000331e-07  0.000000000000000e+00  2.094164841537349e-10  1.649931382409443e+00  1.649931382831927e+00  1.649931382620685e+00 -4.224838257016472e-10  1.649931300124069e+00  1.670955890708651e-03 
 9.851400000000332e-07  0.000000000000000e+00  2.094759921078548e-10  1.649931382409631e+00  1.649931382832049e+00  1.649931382620839e+00 -4.224178784539845e-10  1.649931300124314e+00  1.670955891035156e-03 
 9.856400000000332e-07  0.000000000000000e+00  2.095355000619747e-10  1.649931382409871e+00  1.649931382832226e+00  1.649931382621048e+00 -4.223554839200006e-10  1.649931300124487e+00  1.670955891902695e-03 
 9.861400000000333e-07  0.000000000000000e+00  2.096045559341064e-10  1.649931382410120e+00  1.649931382832427e+00  1.649931382621274e+00 -4.223075222853367e-10  1.649931300124715e+00  1.670955891705803e-03 
 9.866400000000333e-07  0.000000000000000e+00  2.096689488695347e-10  1.649931382410337e+00  1.649931382832616e+00  1.649931382621477e+00 -4.222791005759063e-10  1.649931300124857e+00  1.670955891449360e-03 
 9.871400000000333e-07  0.000000000000000e+00  2.097171325488034e-10  1.649931382410621e+00  1.649931382832881e+00  1.649931382621751e+00 -4.222604488290926e-10  1.649931300125201e+00  1.670955891672848e-03 
 9.876400000000334e-07  0.000000000000000e+00  2.097571005776899e-10  1.649931382410951e+00  1.649931382833194e+00  1.649931382622072e+00 -4.222426852606986e-10  1.649931300125599e+00  1.670955891696974e-03 
 9.881400000000334e-07  0.000000000000000e+00  2.098170526210197e-10  1.649931382411310e+00  1.649931382833546e+00  1.649931382622428e+00 -4.222362459671558e-10  1.649931300125836e+00  1.670955891242760e-03 
 9.886400000000334e-07  0.000000000000000e+00  2.098721196830411e-10  1.649931382411678e+00  1.649931382833925e+00  1.649931382622801e+00 -4.222469041081922e-10  1.649931300126040e+00  1.670955891048452e-03 
 9.891400000000335e-07  0.000000000000000e+00  2.099127538457424e-10  1.649931382411996e+00  1.649931382834262e+00  1.649931382623129e+00 -4.222664440334256e-10  1.649931300126549e+00  1.670955891427666e-03 
 9.896400000000335e-07  0.000000000000000e+00  2.099225238083591e-10  1.649931382412275e+00  1.649931382834547e+00  1.649931382623411e+00 -4.222719951485487e-10  1.649931300126618e+00  1.670955891507322e-03 
 9.901400000000336e-07  0.000000000000000e+00  2.099445062242467e-10  1.649931382412623e+00  1.649931382834882e+00  1.649931382623753e+00 -4.222588945168582e-10  1.649931300126974e+00  1.670955892284115e-03 
 9.906400000000336e-07  0.000000000000000e+00  2.099791451826150e-10  1.649931382412954e+00  1.649931382835190e+00  1.649931382624072e+00 -4.222369121009706e-10  1.649931300127239e+00  1.670955891645681e-03 
 9.911400000000336e-07  0.000000000000000e+00  2.100128959625636e-10  1.649931382413268e+00  1.649931382835479e+00  1.649931382624374e+00 -4.222113769714042e-10  1.649931300127590e+00  1.670955892396975e-03 
 9.916400000000337e-07  0.000000000000000e+00  2.100488671885614e-10  1.649931382413427e+00  1.649931382835613e+00  1.649931382624520e+00 -4.221860638864428e-10  1.649931300127648e+00  1.670955891218754e-03 
 9.921400000000337e-07  0.000000000000000e+00  2.100768448087820e-10  1.649931382413488e+00  1.649931382835647e+00  1.649931382624567e+00 -4.221587524000370e-10  1.649931300127819e+00  1.670955891403054e-03 
 9.926400000000337e-07  0.000000000000000e+00  2.101228080420015e-10  1.649931382413546e+00  1.649931382835685e+00  1.649931382624616e+00 -4.221392124748036e-10  1.649931300127795e+00  1.670955891677673e-03 
 9.931400000000338e-07  0.000000000000000e+00  2.101494533945925e-10  1.649931382413521e+00  1.649931382835645e+00  1.649931382624583e+00 -4.221238913970637e-10  1.649931300127957e+00  1.670955891634021e-03 
 9.936400000000338e-07  0.000000000000000e+00  2.101800955500721e-10  1.649931382413438e+00  1.649931382835550e+00  1.649931382624494e+00 -4.221119009883978e-10  1.649931300127940e+00  1.670955891394326e-03 
 9.941400000000339e-07  0.000000000000000e+00  2.101578910895796e-10  1.649931382413389e+00  1.649931382835457e+00  1.649931382624423e+00 -4.220681582012276e-10  1.649931300127817e+00  1.670955891602863e-03 
 9.946400000000339e-07  0.000000000000000e+00  2.101419038780250e-10  1.649931382413493e+00  1.649931382835470e+00  1.649931382624482e+00 -4.219766758239984e-10  1.649931300127750e+00  1.670955892307558e-03 
 9.951400000000339e-07  0.000000000000000e+00  2.101745444349490e-10  1.649931382413650e+00  1.649931382835519e+00  1.649931382624585e+00 -4.218692062352147e-10  1.649931300127814e+00  1.670955891899419e-03 
 9.956400000000340e-07  0.000000000000000e+00  2.102149565530453e-10  1.649931382413741e+00  1.649931382835514e+00  1.649931382624627e+00 -4.217728388766773e-10  1.649931300127906e+00  1.670955892378119e-03 
 9.961400000000340e-07  0.000000000000000e+00  2.102595875186353e-10  1.649931382413705e+00  1.649931382835405e+00  1.649931382624555e+00 -4.217002302908668e-10  1.649931300127927e+00  1.670955891348290e-03 
 9.966400000000340e-07  0.000000000000000e+00  2.103119900453976e-10  1.649931382413552e+00  1.649931382835215e+00  1.649931382624384e+00 -4.216624827080295e-10  1.649931300127844e+00  1.670955891487303e-03 
 9.971400000000341e-07  0.000000000000000e+00  2.103519580742841e-10  1.649931382413435e+00  1.649931382835093e+00  1.649931382624264e+00 -4.216582638605360e-10  1.649931300127680e+00  1.670955891444261e-03 
 9.976400000000341e-07  0.000000000000000e+00  2.103919261031706e-10  1.649931382413344e+00  1.649931382835028e+00  1.649931382624186e+00 -4.216842430793122e-10  1.649931300127702e+00  1.670955891471464e-03 
 9.981400000000342e-07  0.000000000000000e+00  2.104167950989222e-10  1.649931382413304e+00  1.649931382835035e+00  1.649931382624170e+00 -4.217313165355563e-10  1.649931300127662e+00  1.670955891472713e-03 
 9.986400000000342e-07  0.000000000000000e+00  2.104554308601791e-10  1.649931382413271e+00  1.649931382835073e+00  1.649931382624172e+00 -4.218019267199224e-10  1.649931300127619e+00  1.670955891466086e-03 
 9.991400000000342e-07  0.000000000000000e+00  2.104907359523622e-10  1.649931382413266e+00  1.649931382835166e+00  1.649931382624216e+00 -4.219002924799042e-10  1.649931300127603e+00  1.670955891500508e-03 
 9.995700000000171e-07  0.000000000000000e+00  2.102509277790432e-10  1.649931382412855e+00  1.649931382835326e+00  1.649931382624090e+00 -4.224709471145616e-10  1.649931300127659e+00  1.670955891966764e-03 
 1.000000000000000e-06  0.000000000000000e+00  2.096343099111664e-10  1.649931382412021e+00  1.649931382834699e+00  1.649931382623360e+00 -4.226772265525369e-10  1.649931300126884e+00  1.670955891588881e-03 
 1.000050000000000e-06  4.999999999989412e-02  7.788592016866325e-05  1.649931369744814e+00  1.649931395501448e+00  1.649931382623131e+00 -2.575663460291366e-08  1.649931300126638e+00  1.670955891016028e-03 
 1.000150000000000e-06  1.499999999998941e-01  4.197001796231170e-04  1.649931214769049e+00  1.649931550459210e+00  1.649931382614130e+00 -3.356901612239227e-07  1.649931300119073e+00  1.670955780414549e-03 
 1.000350000000000e-06  3.499999999998941e-01  1.988061048722845e-03  1.649929560851417e+00  1.649933203832876e+00  1.649931382342146e+00 -3.642981459384131e-06  1.649931299869209e+00  1.670955458754348e-03 
 1.000675000000000e-06  6.749999999999471e-01  7.090393326677047e-03  1.649920979773093e+00  1.649941830481753e+00  1.649931405127423e+00 -2.085070865986971e-05  1.649931321185278e+00  1.670975088079326e-03 
 1.001000000000000e-06  1.000000000000000e+00  1.531895388709748e-02  1.649905251716901e+00  1.649958008115485e+00  1.649931629916193e+00 -5.275639858348669e-05  1.649931532228616e+00  1.671101090400673e-03 
 1.001050000000000e-06  1.000000000000000e+00  1.682068509426049e-02  1.649902163068582e+00  1.649961220161878e+00  1.649931691615230e+00 -5.905709329567799e-05  1.649931590194419e+00  1.671130667882753e-03 
 1.001150000000000e-06  1.000000000000000e+00  1.981232659794863e-02  1.649895877413754e+00  1.649967823002895e+00  1.649931850208325e+00 -7.194558914092042e-05  1.649931739154832e+00  1.671219543713399e-03 
 1.001350000000000e-06  1.000000000000000e+00  2.574050688490992e-02  1.649884452503421e+00  1.649980474435350e+00  1.649932463469386e+00 -9.602193192903563e-05  1.649932315558619e+00  1.671514457722128e-03 
