 time                   v(REF)                 v(VOCM)                v(OUTP)                v(OUTN)                cm_voutcm              cm_voutdiff            cm_idd                
 2.140000000000000e-08  8.500000000000000e-01  8.681938950322002e-01  8.681939385469535e-01  8.681939384002355e-01  8.681939384735945e-01  1.467179711056588e-10  1.555369204002976e-03 
 2.640000000000000e-08  8.500000000000000e-01  8.681938950936771e-01  8.681939385832700e-01  8.681939384847082e-01  8.681939385339891e-01  9.856182536793767e-11  1.555369203426697e-03 
 3.140000000000000e-08  8.500000000000000e-01  8.681938951490835e-01  8.681939386252093e-01  8.681939385481542e-01  8.681939385866817e-01  7.705514004641145e-11  1.555369203944730e-03 
 3.640000000000000e-08  8.500000000000000e-01  8.681938951952495e-01  8.681939386644429e-01  8.681939385958142e-01  8.681939386301285e-01  6.862876933411144e-11  1.555369203973486e-03 
 4.139999999999999e-08  8.500000000000000e-01  8.681938952358069e-01  8.681939386977928e-01  8.681939386327300e-01  8.681939386652614e-01  6.506284400131790e-11  1.555369203170752e-03 
 4.639999999999999e-08  8.500000000000000e-01  8.681938952689332e-01  8.681939387268128e-01  8.681939386643577e-01  8.681939386955853e-01  6.245515216107833e-11  1.555369203360176e-03 
 5.139999999999999e-08  8.500000000000000e-01  8.681938952959298e-01  8.681939387510583e-01  8.681939386884366e-01  8.681939387197475e-01  6.262168561477210e-11  1.555369203169644e-03 
 5.639999999999999e-08  8.500000000000000e-01  8.681938953195417e-01  8.681939387719335e-01  8.681939387120100e-01  8.681939387419717e-01  5.992351059802559e-11  1.555369203775484e-03 
 6.139999999999999e-08  8.500000000000000e-01  8.681938953386438e-01  8.681939387894317e-01  8.681939387297410e-01  8.681939387595864e-01  5.969069682976169e-11  1.555369203252137e-03 
 6.640000000000000e-08  8.500000000000000e-01  8.681938953512740e-01  8.681939388018483e-01  8.681939387365034e-01  8.681939387691758e-01  6.534484064957269e-11  1.555369203080190e-03 
 7.140000000000000e-08  8.500000000000000e-01  8.681938953553678e-01  8.681939388081800e-01  8.681939387310468e-01  8.681939387696134e-01  7.713318872504260e-11  1.555369203013986e-03 
 7.640000000000001e-08  8.500000000000000e-01  8.681938953512411e-01  8.681939388055665e-01  8.681939387183492e-01  8.681939387619578e-01  8.721734445771290e-11  1.555369202789557e-03 
 8.140000000000001e-08  8.500000000000000e-01  8.681938953400490e-01  8.681939387928173e-01  8.681939387019214e-01  8.681939387473694e-01  9.089584640520343e-11  1.555369202668203e-03 
 8.640000000000002e-08  8.500000000000000e-01  8.681938953234163e-01  8.681939387735846e-01  8.681939386831777e-01  8.681939387283812e-01  9.040690418515851e-11  1.555369202629417e-03 
 9.140000000000002e-08  8.500000000000000e-01  8.681938953042809e-01  8.681939387520904e-01  8.681939386598559e-01  8.681939387059732e-01  9.223444230599398e-11  1.555369202172870e-03 
 9.640000000000003e-08  8.500000000000000e-01  8.681938952850110e-01  8.681939387321284e-01  8.681939386360503e-01  8.681939386840893e-01  9.607803441724627e-11  1.555369202637121e-03 
 1.014000000000000e-07  8.500000000000000e-01  8.681938952620253e-01  8.681939387137984e-01  8.681939386105185e-01  8.681939386621584e-01  1.032798291333847e-10  1.555369202381391e-03 
 1.064000000000000e-07  8.500000000000000e-01  8.681938952400651e-01  8.681939386952270e-01  8.681939385846656e-01  8.681939386399463e-01  1.105613378626913e-10  1.555369202423603e-03 
 1.114000000000000e-07  8.500000000000000e-01  8.681938952155263e-01  8.681939386749052e-01  8.681939385563455e-01  8.681939386156254e-01  1.185597175989983e-10  1.555369202426768e-03 
 1.164000000000000e-07  8.500000000000000e-01  8.681938951924107e-01  8.681939386540634e-01  8.681939385287519e-01  8.681939385914077e-01  1.253114279009537e-10  1.555369202581284e-03 
 1.214000000000000e-07  8.500000000000000e-01  8.681938951664234e-01  8.681939386301948e-01  8.681939384993872e-01  8.681939385647910e-01  1.308075869843606e-10  1.555369202152637e-03 
 1.264000000000000e-07  8.500000000000000e-01  8.681938951374017e-01  8.681939386056220e-01  8.681939384616586e-01  8.681939385336404e-01  1.439633967592613e-10  1.555369202407033e-03 
 1.314000000000001e-07  8.500000000000000e-01  8.681938951069684e-01  8.681939385815208e-01  8.681939384242769e-01  8.681939385028989e-01  1.572438845798274e-10  1.555369202303708e-03 
