 frequency              onoise_spectrum       
 8.709635899560756e-01  1.672256769544522e-02 
 8.912509381337403e-01  1.653014105626572e-02 
 9.120108393559044e-01  1.633995699111423e-02 
 9.332543007969856e-01  1.615198902247497e-02 
 9.549925860214303e-01  1.596621098952283e-02 
 9.772372209558049e-01  1.578259704462963e-02 
 9.999999999999940e-01  1.560112164940909e-02 
 1.023292992280748e+00  1.542175957091165e-02 
 1.047128548050893e+00  1.524448587810610e-02 
 1.071519305237600e+00  1.506927593808122e-02 
 1.096478196143178e+00  1.489610541244312e-02 
 1.122018454301957e+00  1.472495025371762e-02 
 1.148153621496876e+00  1.455578670188608e-02 
 1.174897554939522e+00  1.438859128094755e-02 
 1.202264434617406e+00  1.422334079522553e-02 
 1.230268770812374e+00  1.406001232635280e-02 
 1.258925411794160e+00  1.389858322949180e-02 
 1.288249551693126e+00  1.373903113040720e-02 
 1.318256738556399e+00  1.358133392183744e-02 
 1.348962882591645e+00  1.342546976059047e-02 
 1.380384264602876e+00  1.327141706398063e-02 
 1.412537544622746e+00  1.311915450711046e-02 
 1.445439770745919e+00  1.296866101924336e-02 
 1.479108388168198e+00  1.281991578115583e-02 
 1.513561248436199e+00  1.267289822186358e-02 
 1.548816618912471e+00  1.252758801573510e-02 
 1.584893192461103e+00  1.238396507931313e-02 
 1.621810097358920e+00  1.224200956863003e-02 
 1.659586907437550e+00  1.210170187616592e-02 
 1.698243652461733e+00  1.196302262802700e-02 
 1.737800828749364e+00  1.182595268105399e-02 
 1.778279410038911e+00  1.169047312012029e-02 
 1.819700858609971e+00  1.155656525532810e-02 
 1.862087136662855e+00  1.142421061926072e-02 
 1.905460717963235e+00  1.129339096429838e-02 
 1.949844599758032e+00  1.116408825999503e-02 
 1.995262314968866e+00  1.103628469037032e-02 
 2.041737944669515e+00  1.090996265141774e-02 
 2.089296130854025e+00  1.078510474840416e-02 
 2.137962089502217e+00  1.066169379344876e-02 
 2.187761623949537e+00  1.053971280298839e-02 
 2.238721138568323e+00  1.041914499524822e-02 
 2.290867652767756e+00  1.029997378789700e-02 
 2.344228815319905e+00  1.018218279546139e-02 
 2.398832919019473e+00  1.006575582723271e-02 
 2.454708915685012e+00  9.950676884546964e-03 
 2.511886431509561e+00  9.836930158737524e-03 
 2.570395782768844e+00  9.724500028693900e-03 
 2.630267991895362e+00  9.613371058698127e-03 
 2.691534803926895e+00  9.503527995936543e-03 
 2.754228703338145e+00  9.394955768679141e-03 
 2.818382931264432e+00  9.287639483648929e-03 
 2.884031503126584e+00  9.181564424199869e-03 
 2.951209226666363e+00  9.076716048003875e-03 
 3.019951720401993e+00  8.973079984945309e-03 
 3.090295432513567e+00  8.870642035001718e-03 
 3.162277660168355e+00  8.769388166423978e-03 
 3.235936569296257e+00  8.669304513295737e-03 
 3.311311214825885e+00  8.570377373846775e-03 
 3.388441561391999e+00  8.472593208321978e-03 
 3.467368504525289e+00  8.375938636933686e-03 
 3.548133892335727e+00  8.280400438164354e-03 
 3.630780547700985e+00  8.185965546601890e-03 
 3.715352290971696e+00  8.092621051086248e-03 
 3.801893963205582e+00  8.000354192958203e-03 
 3.890451449942775e+00  7.909152364062031e-03 
 3.981071705534941e+00  7.819003104995483e-03 
 4.073802778041094e+00  7.729894103248598e-03 
 4.168693834703320e+00  7.641813191446097e-03 
 4.265795188015892e+00  7.554748345536525e-03 
 4.365158322401624e+00  7.468687683075532e-03 
 4.466835921509595e+00  7.383619461476128e-03 
 4.570881896148713e+00  7.299532076336871e-03 
 4.677351412871944e+00  7.216414059693742e-03 
 4.786300923226344e+00  7.134254078375210e-03 
 4.897788193684422e+00  7.053040932344309e-03 
 5.011872336272681e+00  6.972763553107983e-03 
 5.128613839913606e+00  6.893411002017194e-03 
 5.248074602497682e+00  6.814972468738039e-03 
 5.370317963702482e+00  6.737437269649113e-03 
 5.495408738576200e+00  6.660794846315698e-03 
 5.623413251903443e+00  6.585034763848308e-03 
 5.754399373371521e+00  6.510146709515391e-03 
 5.888436553555840e+00  6.436120491096976e-03 
 6.025595860743526e+00  6.362946035494879e-03 
 6.165950018614769e+00  6.290613387178610e-03 
 6.309573444801878e+00  6.219112706829788e-03 
 6.456542290346500e+00  6.148434269756617e-03 
 6.606934480075903e+00  6.078568464564263e-03 
 6.760829753919760e+00  6.009505791725065e-03 
 6.918309709189305e+00  5.941236862190565e-03 
 7.079457843841318e+00  5.873752395916290e-03 
 7.244359600749839e+00  5.807043220622784e-03 
 7.413102413009112e+00  5.741100270383954e-03 
 7.585775750291773e+00  5.675914584238139e-03 
 7.762471166286851e+00  5.611477304956729e-03 
 7.943282347242747e+00  5.547779677657222e-03 
 8.128305161640922e+00  5.484813048519679e-03 
 8.317637711026638e+00  5.422568863515238e-03 
 8.511380382023690e+00  5.361038667118628e-03 
 8.709635899560730e+00  5.300214101047894e-03 
 8.912509381337378e+00  5.240086903029947e-03 
 9.120108393559018e+00  5.180648905541427e-03 
 9.332543007969829e+00  5.121892034615857e-03 
 9.549925860214275e+00  5.063808308529196e-03 
 9.772372209558020e+00  5.006389836766901e-03 
 9.999999999999911e+00  4.949628818704611e-03 
 1.023292992280745e+01  4.893517542434881e-03 
 1.047128548050890e+01  4.838048383641508e-03 
 1.071519305237597e+01  4.783213804427645e-03 
 1.096478196143175e+01  4.729006352162888e-03 
 1.122018454301953e+01  4.675418658316242e-03 
 1.148153621496872e+01  4.622443437380138e-03 
 1.174897554939519e+01  4.570073485650404e-03 
 1.202264434617402e+01  4.518301680255739e-03 
 1.230268770812370e+01  4.467120977932194e-03 
 1.258925411794155e+01  4.416524414001060e-03 
 1.288249551693122e+01  4.366505101199532e-03 
 1.318256738556395e+01  4.317056228726048e-03 
 1.348962882591641e+01  4.268171061045866e-03 
 1.380384264602872e+01  4.219842936898025e-03 
 1.412537544622741e+01  4.172065268204196e-03 
 1.445439770745913e+01  4.124831539065151e-03 
 1.479108388168193e+01  4.078135304641405e-03 
 1.513561248436193e+01  4.031970190198501e-03 
 1.548816618912466e+01  3.986329890029441e-03 
 1.584893192461098e+01  3.941208166437264e-03 
 1.621810097358914e+01  3.896598848716284e-03 
 1.659586907437544e+01  3.852495832122317e-03 
 1.698243652461728e+01  3.808893076931367e-03 
 1.737800828749359e+01  3.765784607359397e-03 
 1.778279410038905e+01  3.723164510565858e-03 
 1.819700858609966e+01  3.681026935731454e-03 
 1.862087136662849e+01  3.639366093000637e-03 
 1.905460717963228e+01  3.598176252516421e-03 
 1.949844599758026e+01  3.557451743448481e-03 
 1.995262314968860e+01  3.517186952996964e-03 
 2.041737944669509e+01  3.477376325406889e-03 
 2.089296130854019e+01  3.438014361045630e-03 
 2.137962089502211e+01  3.399095615377643e-03 
 2.187761623949531e+01  3.360614698026670e-03 
 2.238721138568317e+01  3.322566271795740e-03 
 2.290867652767750e+01  3.284945051721650e-03 
 2.344228815319899e+01  3.247745804099842e-03 
 2.398832919019467e+01  3.210963345517829e-03 
 2.454708915685006e+01  3.174592541934779e-03 
 2.511886431509555e+01  3.138628307671338e-03 
 2.570395782768838e+01  3.103065604516858e-03 
 2.630267991895355e+01  3.067899440702202e-03 
 2.691534803926888e+01  3.033124870022396e-03 
 2.754228703338138e+01  2.998736990847491e-03 
 2.818382931264425e+01  2.964730945173029e-03 
 2.884031503126576e+01  2.931101917661861e-03 
 2.951209226666355e+01  2.897845134725311e-03 
 3.019951720401985e+01  2.864955863566971e-03 
 3.090295432513559e+01  2.832429411218979e-03 
 3.162277660168347e+01  2.800261123610018e-03 
 3.235936569296249e+01  2.768446384634346e-03 
 3.311311214825876e+01  2.736980615189241e-03 
 3.388441561391990e+01  2.705859272237061e-03 
 3.467368504525280e+01  2.675077847915703e-03 
 3.548133892335717e+01  2.644631868508411e-03 
 3.630780547700975e+01  2.614516893609302e-03 
 3.715352290971686e+01  2.584728515135867e-03 
 3.801893963205572e+01  2.555262356426520e-03 
 3.890451449942765e+01  2.526114071322452e-03 
 3.981071705534930e+01  2.497279343246822e-03 
 4.073802778041084e+01  2.468753815286542e-03 
 4.168693834703309e+01  2.440533366148110e-03 
 4.265795188015881e+01  2.412613692749276e-03 
 4.365158322401612e+01  2.384990587839565e-03 
 4.466835921509583e+01  2.357659869292880e-03 
 4.570881896148700e+01  2.330617379260778e-03 
 4.677351412871931e+01  2.303858983296000e-03 
 4.786300923226331e+01  2.277380569546443e-03 
 4.897788193684408e+01  2.251178047936623e-03 
