 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 2.754228703338181e-04  1.000000000000000e+00  0.000000000000000e+00  7.120427863749701e-02  2.571657346933254e-01 
 2.786121168629786e-04  1.000000000000000e+00  0.000000000000000e+00  7.274219198424960e-02  2.597128239828382e-01 
 2.818382931264470e-04  1.000000000000000e+00  0.000000000000000e+00  7.431066452524147e-02  2.622757609862729e-01 
 2.851018267503925e-04  1.000000000000000e+00  0.000000000000000e+00  7.591018794353564e-02  2.648543300153467e-01 
 2.884031503126622e-04  1.000000000000000e+00  0.000000000000000e+00  7.754125679347605e-02  2.674483030047415e-01 
 2.917427014001184e-04  1.000000000000000e+00  0.000000000000000e+00  7.920436827360200e-02  2.700574392219388e-01 
 2.951209226666403e-04  1.000000000000000e+00  0.000000000000000e+00  8.090002198681796e-02  2.726814849771600e-01 
 2.985382618917977e-04  1.000000000000000e+00  0.000000000000000e+00  8.262871968750636e-02  2.753201733338282e-01 
 3.019951720402034e-04  1.000000000000000e+00  0.000000000000000e+00  8.439096501527700e-02  2.779732238199890e-01 
 3.054921113215531e-04  1.000000000000000e+00  0.000000000000000e+00  8.618726321505529e-02  2.806403421411556e-01 
 3.090295432513609e-04  1.000000000000000e+00  0.000000000000000e+00  8.801812084322048e-02  2.833212198950655e-01 
 3.126079367123974e-04  1.000000000000000e+00  0.000000000000000e+00  8.988404545951505e-02  2.860155342888588e-01 
 3.162277660168398e-04  1.000000000000000e+00  0.000000000000000e+00  9.178554530445837e-02  2.887229478592171e-01 
 3.198895109691417e-04  1.000000000000000e+00  0.000000000000000e+00  9.372312896201201e-02  2.914431081960252e-01 
 3.235936569296303e-04  1.000000000000000e+00  0.000000000000000e+00  9.569730500725607e-02  2.941756476701413e-01 
 3.273406948788403e-04  1.000000000000000e+00  0.000000000000000e+00  9.770858163885623e-02  2.969201831658919e-01 
 3.311311214825932e-04  1.000000000000000e+00  0.000000000000000e+00  9.975746629611545e-02  2.996763158189275e-01 
 3.349654391578298e-04  1.000000000000000e+00  0.000000000000000e+00  1.018444652604261e-01  3.024436307601054e-01 
