 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 2.264644307593069e-04  1.000000000000000e+00  0.000000000000000e+00  4.927652834145245e-02  2.164447787329664e-01 
 2.290867652767783e-04  1.000000000000000e+00  0.000000000000000e+00  5.036651554871779e-02  2.187000676426449e-01 
 2.317394649968489e-04  1.000000000000000e+00  0.000000000000000e+00  5.147930754745592e-02  2.209732521053870e-01 
 2.344228815319933e-04  1.000000000000000e+00  0.000000000000000e+00  5.261532323979254e-02  2.232642839262522e-01 
 2.371373705661666e-04  1.000000000000000e+00  0.000000000000000e+00  5.377498662477328e-02  2.255731071809837e-01 
 2.398832919019502e-04  1.000000000000000e+00  0.000000000000000e+00  5.495872673827112e-02  2.278996579677907e-01 
 2.426610095082427e-04  1.000000000000000e+00  0.000000000000000e+00  5.616697758560536e-02  2.302438641551827e-01 
 2.454708915685042e-04  1.000000000000000e+00  0.000000000000000e+00  5.740017806657269e-02  2.326056451259623e-01 
 2.483133105295582e-04  1.000000000000000e+00  0.000000000000000e+00  5.865877189258725e-02  2.349849115175028e-01 
 2.511886431509593e-04  1.000000000000000e+00  0.000000000000000e+00  5.994320749562079e-02  2.373815649584412e-01 
 2.540972705549318e-04  1.000000000000000e+00  0.000000000000000e+00  6.125393792862998e-02  2.397954978019404e-01 
 2.570395782768877e-04  1.000000000000000e+00  0.000000000000000e+00  6.259142075715400e-02  2.422265928556839e-01 
 2.600159563165285e-04  1.000000000000000e+00  0.000000000000000e+00  6.395611794176151e-02  2.446747231087837e-01 
 2.630267991895396e-04  1.000000000000000e+00  0.000000000000000e+00  6.534849571102350e-02  2.471397514557974e-01 
 2.660725059798824e-04  1.000000000000000e+00  0.000000000000000e+00  6.676902442468526e-02  2.496215304180688e-01 
