 time                   v(INP)                 v(INN)                 vin_diff               v(OUTP)                v(OUTN)                voutcm                 voutdiff               v(REF)                 idd                   
 1.072147809999935e+00  1.500000000000000e+00  1.500336354100231e+00 -3.363541002308068e-04  1.500789056826002e+00  1.501125903983572e+00  1.500957480404788e+00 -3.368471575699861e-04  1.650000000000000e+00  3.300000000000000e-12 
 1.073147809999935e+00  1.500000000000000e+00  1.500491239443264e+00 -4.912394432634581e-04  1.500789989241218e+00  1.501281719123093e+00  1.501035854182156e+00 -4.917298818749583e-04  1.650000000000000e+00  3.300000000000000e-12 
 1.074147809999934e+00  1.500000000000000e+00  1.500644186088640e+00 -6.441860886394757e-04  1.500790921650606e+00  1.501435594598504e+00  1.501113258124555e+00 -6.446729478983837e-04  1.650000000000000e+00  3.300000000000000e-12 
 1.075147809999934e+00  1.500000000000000e+00  1.500794590425825e+00 -7.945904258244152e-04  1.500791854054166e+00  1.501586926813392e+00  1.501189390433779e+00 -7.950727592258566e-04  1.650000000000000e+00  3.300000000000000e-12 
 1.076147809999934e+00  1.500000000000000e+00  1.500941858877612e+00 -9.418588776122228e-04  1.500792786451899e+00  1.501735122208406e+00  1.501263954330152e+00 -9.423357565068180e-04  1.650000000000000e+00  3.300000000000000e-12 
 1.077147809999934e+00  1.500000000000000e+00  1.501085410242705e+00 -1.085410242704699e-03  1.500793718843804e+00  1.501879599603768e+00  1.501336659223786e+00 -1.085880759963631e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.078147809999934e+00  1.500000000000000e+00  1.501224677989446e+00 -1.224677989445810e-03  1.500794651229882e+00  1.502019792492922e+00  1.501407221861402e+00 -1.225141263040186e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.079147809999934e+00  1.500000000000000e+00  1.501359112491665e+00 -1.359112491664982e-03  1.500795583610132e+00  1.502155151278279e+00  1.501475367444206e+00 -1.359567668147488e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.080147809999934e+00  1.500000000000000e+00  1.501488183197799e+00 -1.488183197798643e-03  1.500796515984555e+00  1.502285145440226e+00  1.501540830712390e+00 -1.488629455671298e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.081147809999934e+00  1.500000000000000e+00  1.501611380724737e+00 -1.611380724737099e-03  1.500797448353150e+00  1.502409265630844e+00  1.501603356991997e+00 -1.611817277693550e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.082147809999934e+00  1.500000000000000e+00  1.501728218868125e+00 -1.728218868124687e-03  1.500798380715918e+00  1.502527025684072e+00  1.501662703199995e+00 -1.728644968153503e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.083147809999933e+00  1.500000000000000e+00  1.501838236521188e+00 -1.838236521187975e-03  1.500799313072859e+00  1.502637964534383e+00  1.501718638803621e+00 -1.838651461524510e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.084147809999933e+00  1.500000000000000e+00  1.501940999494513e+00 -1.940999494512541e-03  1.500800245423972e+00  1.502741648036400e+00  1.501770946730186e+00 -1.941402612428256e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.085147809999933e+00  1.500000000000000e+00  1.502036102229591e+00 -2.036102229590497e-03  1.500801177769258e+00  1.502837670678266e+00  1.501819424223762e+00 -2.036492909008425e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.086147809999933e+00  1.500000000000000e+00  1.502123169399375e+00 -2.123169399375069e-03  1.500802110108717e+00  1.502925657182018e+00  1.501863883645367e+00 -2.123547073301202e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.087147809999933e+00  1.500000000000000e+00  1.502201857389524e+00 -2.201857389523942e-03  1.500803042442348e+00  1.503005263984633e+00  1.501904153213491e+00 -2.202221542284999e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.088147809999933e+00  1.500000000000000e+00  1.502271855654490e+00 -2.271855654489396e-03  1.500803974770153e+00  1.503076180593920e+00  1.501940077682037e+00 -2.272205823767637e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.089147809999933e+00  1.500000000000000e+00  1.502332887943099e+00 -2.332887943098605e-03  1.500804907092130e+00  1.503138130813887e+00  1.501971518953009e+00 -2.333223721756816e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.090147809999933e+00  1.500000000000000e+00  1.502384713388792e+00 -2.384713388791759e-03  1.500805839408280e+00  1.503190873834760e+00  1.501998356621520e+00 -2.385034426479749e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.091147809999933e+00  1.500000000000000e+00  1.502427127460211e+00 -2.427127460211009e-03  1.500806771718604e+00  1.503234205183352e+00  1.502020488450978e+00 -2.427433464748274e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.092147809999932e+00  1.500000000000000e+00  1.502459962768394e+00 -2.459962768394108e-03  1.500807704023100e+00  1.503267957530024e+00  1.502037830776562e+00 -2.460253506923582e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.093147809999932e+00  1.500000000000000e+00  1.502483089727380e+00 -2.483089727380206e-03  1.500808636321769e+00  1.503292001349056e+00  1.502050318835412e+00 -2.483365027286411e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.094147809999932e+00  1.500000000000000e+00  1.502496417065629e+00 -2.496417065628309e-03  1.500809568614611e+00  1.503306245429830e+00  1.502057907022221e+00 -2.496676815218590e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.095147809999932e+00  1.500000000000000e+00  1.502499892186223e+00 -2.499892186222707e-03  1.500810500901627e+00  1.503310637236795e+00  1.502060569069211e+00 -2.500136335168435e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.096147809999932e+00  1.500000000000000e+00  1.502493501374450e+00 -2.493501374450258e-03  1.500811433182816e+00  1.503305163116801e+00  1.502058298149808e+00 -2.493729933985112e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.097147809999932e+00  1.500000000000000e+00  1.502477269851926e+00 -2.477269851925312e-03  1.500812365458177e+00  1.503289848352979e+00  1.502051106905578e+00 -2.477482894801541e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.098147809999932e+00  1.500000000000000e+00  1.502451261677052e+00 -2.451261677051786e-03  1.500813297727712e+00  1.503264757064965e+00  1.502039027396339e+00 -2.451459337252881e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.099147809999932e+00  1.500000000000000e+00  1.502415579492214e+00 -2.415579492213826e-03  1.500814229991420e+00  1.503229991955845e+00  1.502022110973633e+00 -2.415761964425167e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.100147809999932e+00  1.500000000000000e+00  1.502370364118694e+00 -2.370364118693402e-03  1.500815162249302e+00  1.503185693906836e+00  1.502000428078069e+00 -2.370531657534425e-03  1.650000000000000e+00  3.300000000000000e-12 
 1.101147809999931e+00  1.500000000000000e+00  1.502315794000913e+00 -2.315794000912863e-03  1.500816094501356e+00  1.503132041421288e+00  1.501974067961322e+00 -2.315946919931866e-03  1.650000000000000e+00  3.300000000000000e-12 
