Corner,Process,Environment,AVDD_V,Temperature_C,Parameter,Unit,Value
NOMVLNOM,NOM,VLNOM,3,27,"G16 output range low",V,-2.671
NOMVLNOM,NOM,VLNOM,3,27,"G16 output range high",V,2.671
NOMVLNOM,NOM,VLNOM,3,27,"G16 CMRR @ 60 Hz",dB,228.723
NOMVLNOM,NOM,VLNOM,3,27,"G16 CMRR @ 150 Hz",dB,228.722
NOMVLNOM,NOM,VLNOM,3,27,"G16 PSRR+ @ 60 Hz",dB,285.251
NOMVLNOM,NOM,VLNOM,3,27,"G16 PSRR+ @ 150 Hz",dB,282.412
NOMVLNOM,NOM,VLNOM,3,27,"G16 PSRR- @ 60 Hz",dB,222.177
NOMVLNOM,NOM,VLNOM,3,27,"G16 PSRR- @ 150 Hz",dB,222.178
NOMVLNOM,NOM,VLNOM,3,27,"G16 input-referred noise 0.05-150 Hz",uVrms,3.272
NOMVLNOM,NOM,VLNOM,3,27,"G16 THD @ 60 Hz, 0.15 Vpp",%,2.853e-04
NOMVHNOM,NOM,VHNOM,3.6,27,"FDC bias current",uA,40.525
NOMVHNOM,NOM,VHNOM,3.6,27,"CMFB bias current",uA,40.525
NOMVHNOM,NOM,VHNOM,3.6,27,"Total current",mA,1.633
NOMVHNOM,NOM,VHNOM,3.6,27,"Total power",mW,5.878
NOMVHNOM,NOM,VHNOM,3.6,27,"Output CM error",mV,-0.110
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 target gain",V/V,2.000
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 input offset",mV,-5.670e-07
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 gain @ 10 Hz",V/V,1.997
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 gain @ 150 Hz",V/V,1.997
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 gain error",%,-0.166
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 -3 dB bandwidth",MHz,4.965
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 input range low",V,-1.705
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 input range high",V,1.705
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 output range low",V,-3.403
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 output range high",V,3.403
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 CMRR @ 60 Hz",dB,256.009
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 CMRR @ 150 Hz",dB,256.008
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 PSRR+ @ 60 Hz",dB,247.822
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 PSRR+ @ 150 Hz",dB,247.946
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 PSRR- @ 60 Hz",dB,239.276
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 PSRR- @ 150 Hz",dB,239.267
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 input-referred noise 0.05-150 Hz",uVrms,4.637
NOMVHNOM,NOM,VHNOM,3.6,27,"G2 THD @ 60 Hz, 1.20 Vpp",%,0.013
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 target gain",V/V,4.000
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 input offset",mV,-9.851e-09
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 gain @ 10 Hz",V/V,3.982
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 gain @ 150 Hz",V/V,3.982
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 gain error",%,-0.460
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 -3 dB bandwidth",MHz,3.006
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 input range low",V,-0.848
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 input range high",V,0.848
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 output range low",V,-3.374
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 output range high",V,3.374
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 CMRR @ 60 Hz",dB,276.457
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 CMRR @ 150 Hz",dB,276.367
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 PSRR+ @ 60 Hz",dB,259.523
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 PSRR+ @ 150 Hz",dB,259.479
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 PSRR- @ 60 Hz",dB,273.548
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 PSRR- @ 150 Hz",dB,272.967
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 input-referred noise 0.05-150 Hz",uVrms,3.866
NOMVHNOM,NOM,VHNOM,3.6,27,"G4 THD @ 60 Hz, 0.60 Vpp",%,0.003
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 target gain",V/V,8.000
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 input offset",mV,-7.431e-07
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 gain @ 10 Hz",V/V,7.941
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 gain @ 150 Hz",V/V,7.941
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 gain error",%,-0.740
