 cl_ref                 cl_voutcm              cl_ideal               cl_vcmfb               cl_error              
 1.280000000000001e+00  1.281514149411324e+00  1.280000000000001e+00  2.129614149411323e+00  1.514149411322663e-03 
 1.290000000000001e+00  1.291473073984128e+00  1.290000000000001e+00  2.139573073984128e+00  1.473073984126883e-03 
 1.300000000000001e+00  1.301432040158535e+00  1.300000000000001e+00  2.149532040158534e+00  1.432040158533709e-03 
 1.310000000000001e+00  1.311391047453565e+00  1.310000000000001e+00  2.159491047453565e+00  1.391047453563887e-03 
 1.320000000000001e+00  1.321350095356036e+00  1.320000000000001e+00  2.169450095356036e+00  1.350095356035030e-03 
 1.330000000000001e+00  1.331309180660690e+00  1.330000000000001e+00  2.179409180660690e+00  1.309180660689302e-03 
 1.340000000000001e+00  1.341268302906333e+00  1.340000000000001e+00  2.189368302906332e+00  1.268302906331620e-03 
 1.350000000000001e+00  1.351227460570857e+00  1.350000000000001e+00  2.199327460570856e+00  1.227460570855543e-03 
 1.360000000000001e+00  1.361186651467011e+00  1.360000000000001e+00  2.209286651467011e+00  1.186651467010247e-03 
 1.370000000000001e+00  1.371145875157451e+00  1.370000000000001e+00  2.219245875157450e+00  1.145875157449572e-03 
 1.380000000000001e+00  1.381105129638741e+00  1.380000000000001e+00  2.229205129638741e+00  1.105129638740099e-03 
 1.390000000000001e+00  1.391064412989698e+00  1.390000000000001e+00  2.239164412989698e+00  1.064412989697283e-03 
 1.400000000000001e+00  1.401023724538011e+00  1.400000000000001e+00  2.249123724538010e+00  1.023724538009585e-03 
 1.410000000000001e+00  1.410983062636743e+00  1.410000000000001e+00  2.259083062636743e+00  9.830626367424156e-04 
 1.420000000000001e+00  1.420942425202581e+00  1.420000000000001e+00  2.269042425202580e+00  9.424252025795887e-04 
 1.430000000000001e+00  1.430901811131601e+00  1.430000000000001e+00  2.279001811131601e+00  9.018111315997057e-04 
 1.440000000000001e+00  1.440861218490624e+00  1.440000000000001e+00  2.288961218490624e+00  8.612184906233722e-04 
 1.450000000000001e+00  1.450820645966292e+00  1.450000000000001e+00  2.298920645966292e+00  8.206459662909449e-04 
 1.460000000000001e+00  1.460780092117435e+00  1.460000000000001e+00  2.308880092117435e+00  7.800921174343500e-04 
 1.470000000000001e+00  1.470739554751991e+00  1.470000000000001e+00  2.318839554751991e+00  7.395547519901680e-04 
 1.480000000000001e+00  1.480699033256940e+00  1.480000000000001e+00  2.328799033256940e+00  6.990332569389857e-04 
 1.490000000000001e+00  1.490658524721239e+00  1.490000000000001e+00  2.338758524721239e+00  6.585247212378409e-04 
 1.500000000000001e+00  1.500618028620112e+00  1.500000000000001e+00  2.348718028620112e+00  6.180286201109553e-04 
 1.510000000000001e+00  1.510577542608676e+00  1.510000000000001e+00  2.358677542608676e+00  5.775426086749302e-04 
 1.520000000000001e+00  1.520537065275898e+00  1.520000000000001e+00  2.368637065275898e+00  5.370652758966976e-04 
 1.530000000000001e+00  1.530496595193778e+00  1.530000000000001e+00  2.378596595193778e+00  4.965951937767610e-04 
 1.540000000000001e+00  1.540456129091351e+00  1.540000000000001e+00  2.388556129091351e+00  4.561290913498439e-04 
 1.550000000000001e+00  1.550415666958257e+00  1.550000000000001e+00  2.398515666958257e+00  4.156669582557893e-04 
 1.560000000000001e+00  1.560375205647036e+00  1.560000000000001e+00  2.408475205647036e+00  3.752056470349707e-04 
 1.570000000000001e+00  1.570334743475018e+00  1.570000000000001e+00  2.418434743475018e+00  3.347434750164968e-04 
 1.580000000000001e+00  1.580294279759511e+00  1.580000000000001e+00  2.428394279759511e+00  2.942797595095747e-04 
 1.590000000000001e+00  1.590253810755289e+00  1.590000000000001e+00  2.438353810755288e+00  2.538107552874092e-04 
 1.600000000000001e+00  1.600213336147160e+00  1.600000000000001e+00  2.448313336147160e+00  2.133361471585715e-04 
 1.610000000000001e+00  1.610172852456382e+00  1.610000000000001e+00  2.458272852456382e+00  1.728524563808786e-04 
 1.620000000000001e+00  1.620132358260898e+00  1.620000000000001e+00  2.468232358260898e+00  1.323582608971918e-04 
 1.630000000000001e+00  1.630091851247174e+00  1.630000000000001e+00  2.478191851247174e+00  9.185124717281390e-05 
 1.640000000000001e+00  1.640051329912257e+00  1.640000000000001e+00  2.488151329912257e+00  5.132991225575978e-05 
 1.650000000000001e+00  1.650010790676151e+00  1.650000000000001e+00  2.498110790676151e+00  1.079067614973006e-05 
 1.660000000000001e+00  1.659970232295393e+00  1.660000000000001e+00  2.508070232295393e+00 -2.976770460838551e-05 
 1.670000000000001e+00  1.669929651909762e+00  1.670000000000001e+00  2.518029651909762e+00 -7.034809023909183e-05 
 1.680000000000001e+00  1.679889046614579e+00  1.680000000000001e+00  2.527989046614579e+00 -1.109533854224409e-04 
 1.690000000000001e+00  1.689848414678323e+00  1.690000000000001e+00  2.537948414678322e+00 -1.515853216786933e-04 
 1.700000000000001e+00  1.699807752992442e+00  1.700000000000001e+00  2.547907752992442e+00 -1.922470075594873e-04 
 1.710000000000001e+00  1.709767058708326e+00  1.710000000000001e+00  2.557867058708326e+00 -2.329412916755036e-04 
 1.720000000000001e+00  1.719726329546184e+00  1.720000000000001e+00  2.567826329546184e+00 -2.736704538168766e-04 
 1.730000000000001e+00  1.729685561877751e+00  1.730000000000001e+00  2.577785561877751e+00 -3.144381222501824e-04 
 1.740000000000001e+00  1.739644753281352e+00  1.740000000000001e+00  2.587744753281352e+00 -3.552467186489494e-04 
 1.750000000000001e+00  1.749603900805613e+00  1.750000000000001e+00  2.597703900805613e+00 -3.960991943878778e-04 
 1.760000000000001e+00  1.759563000231016e+00  1.760000000000001e+00  2.607663000231016e+00 -4.369997689850358e-04 
 1.770000000000001e+00  1.769522048686299e+00  1.770000000000001e+00  2.617622048686299e+00 -4.779513137018743e-04 
 1.780000000000001e+00  1.779481042358714e+00  1.780000000000001e+00  2.627581042358714e+00 -5.189576412871766e-04 
 1.790000000000001e+00  1.789439978621333e+00  1.790000000000001e+00  2.637539978621333e+00 -5.600213786685071e-04 
 1.800000000000001e+00  1.799398852653951e+00  1.800000000000001e+00  2.647498852653951e+00 -6.011473460501016e-04 
 1.810000000000001e+00  1.809357659622942e+00  1.810000000000001e+00  2.657457659622942e+00 -6.423403770596803e-04 
 1.820000000000001e+00  1.819316397185861e+00  1.820000000000001e+00  2.667416397185861e+00 -6.836028141403716e-04 
 1.830000000000001e+00  1.829275058681954e+00  1.830000000000001e+00  2.677375058681954e+00 -7.249413180472342e-04 
 1.840000000000001e+00  1.839233641418768e+00  1.840000000000001e+00  2.687333641418768e+00 -7.663585812331952e-04 
 1.850000000000001e+00  1.849192139338841e+00  1.850000000000001e+00  2.697292139338840e+00 -8.078606611607864e-04 
 1.860000000000001e+00  1.859150547029496e+00  1.860000000000001e+00  2.707250547029496e+00 -8.494529705056486e-04 
 1.870000000000001e+00  1.869108859561134e+00  1.870000000000001e+00  2.717208859561134e+00 -8.911404388676214e-04 
 1.880000000000001e+00  1.879067070929866e+00  1.880000000000001e+00  2.727167070929866e+00 -9.329290701356463e-04 
 1.890000000000001e+00  1.889025175576637e+00  1.890000000000001e+00  2.737125175576637e+00 -9.748244233642733e-04 
 1.900000000000001e+00  1.898983165338140e+00  1.900000000000001e+00  2.747083165338140e+00 -1.016834661861754e-03 
 1.910000000000001e+00  1.908941034067876e+00  1.910000000000001e+00  2.757041034067876e+00 -1.058965932125178e-03 
 1.920000000000001e+00  1.918898773812043e+00  1.920000000000001e+00  2.766998773812043e+00 -1.101226187958826e-03 
 1.930000000000001e+00  1.928856376935504e+00  1.930000000000001e+00  2.776956376935503e+00 -1.143623064497890e-03 
 1.940000000000002e+00  1.938813833989353e+00  1.940000000000002e+00  2.786913833989353e+00 -1.186166010648471e-03 
 1.950000000000002e+00  1.948771136573205e+00  1.950000000000002e+00  2.796871136573205e+00 -1.228863426796289e-03 
 1.960000000000002e+00  1.958728273741292e+00  1.960000000000002e+00  2.806828273741292e+00 -1.271726258709194e-03 
 1.970000000000002e+00  1.968685234350342e+00  1.970000000000002e+00  2.816785234350342e+00 -1.314765649659710e-03 
 1.980000000000002e+00  1.978642006785295e+00  1.980000000000002e+00  2.826742006785294e+00 -1.357993214706976e-03 
 1.990000000000002e+00  1.988598577660925e+00  1.990000000000002e+00  2.836698577660925e+00 -1.401422339076808e-03 
 2.000000000000001e+00  1.998554932087742e+00  2.000000000000001e+00  2.846654932087742e+00 -1.445067912259068e-03 
 2.010000000000001e+00  2.008511055669837e+00  2.010000000000001e+00  2.856611055669837e+00 -1.488944330163999e-03 
 2.020000000000001e+00  2.018466929543827e+00  2.020000000000001e+00  2.866566929543827e+00 -1.533070456174013e-03 
 2.030000000000001e+00  2.028422535092076e+00  2.030000000000001e+00  2.876522535092076e+00 -1.577464907924320e-03 
 2.040000000000000e+00  2.038377850077953e+00  2.040000000000000e+00  2.886477850077953e+00 -1.622149922047900e-03 
 2.050000000000000e+00  2.048332850768117e+00  2.050000000000000e+00  2.896432850768116e+00 -1.667149231883602e-03 
 2.060000000000000e+00  2.058287509558925e+00  2.060000000000000e+00  2.906387509558924e+00 -1.712490441075243e-03 
 2.070000000000000e+00  2.068241796606746e+00  2.070000000000000e+00  2.916341796606746e+00 -1.758203393253499e-03 
 2.080000000000000e+00  2.078195676441498e+00  2.080000000000000e+00  2.926295676441498e+00 -1.804323558501242e-03 
 2.089999999999999e+00  2.088149108767230e+00  2.089999999999999e+00  2.936249108767230e+00 -1.850891232769047e-03 
 2.099999999999999e+00  2.098102048794578e+00  2.099999999999999e+00  2.946202048794578e+00 -1.897951205421133e-03 
 2.109999999999999e+00  2.108054443202709e+00  2.109999999999999e+00  2.956154443202709e+00 -1.945556797289694e-03 
 2.119999999999999e+00  2.118006230915421e+00  2.119999999999999e+00  2.966106230915421e+00 -1.993769084577490e-03 
 2.129999999999999e+00  2.127957339677089e+00  2.129999999999999e+00  2.976057339677090e+00 -2.042660322909118e-03 
 2.139999999999998e+00  2.137907684074333e+00  2.139999999999998e+00  2.986007684074333e+00 -2.092315925664945e-03 
 2.149999999999998e+00  2.147857164307852e+00  2.149999999999998e+00  2.995957164307852e+00 -2.142835692146239e-03 
 2.159999999999998e+00  2.157805659515438e+00  2.159999999999998e+00  3.005905659515439e+00 -2.194340484559465e-03 
 2.169999999999998e+00  2.167753023089182e+00  2.169999999999998e+00  3.015853023089182e+00 -2.246976910815324e-03 
