 frequency              onoise_spectrum       
 2.421029046736129e-02  1.569238402227893e-03 
 2.426610095082366e-02  1.567312864427516e-03 
 2.432204009073765e-02  1.565389715292598e-03 
 2.437810818368702e-02  1.563468951832367e-03 
 2.443430552693921e-02  1.561550571059825e-03 
 2.449063241844695e-02  1.559634569991742e-03 
 2.454708915684979e-02  1.557720945648651e-03 
 2.460367604147576e-02  1.555809695054846e-03 
 2.466039337234288e-02  1.553900815238370e-03 
 2.471724145016078e-02  1.551994303231021e-03 
 2.477422057633234e-02  1.550090156068340e-03 
 2.483133105295518e-02  1.548188370789604e-03 
 2.488857318282338e-02  1.546288944437832e-03 
 2.494594726942902e-02  1.544391874059764e-03 
 2.500345361696378e-02  1.542497156705873e-03 
 2.506109253032060e-02  1.540604789430351e-03 
 2.511886431509526e-02  1.538714769291104e-03 
 2.517676927758802e-02  1.536827093349751e-03 
 2.523480772480521e-02  1.534941758671618e-03 
 2.529297996446090e-02  1.533058762325732e-03 
 2.535128630497853e-02  1.531178101384818e-03 
 2.540972705549250e-02  1.529299772925292e-03 
 2.546830252584986e-02  1.527423774027259e-03 
 2.552701302661192e-02  1.525550101774508e-03 
 2.558585886905590e-02  1.523678753254506e-03 
 2.564484036517662e-02  1.521809725558392e-03 
 2.570395782768808e-02  1.519943015780977e-03 
 2.576321157002519e-02  1.518078621020734e-03 
 2.582260190634540e-02  1.516216538379798e-03 
 2.588212915153035e-02  1.514356764963959e-03 
 2.594179362118757e-02  1.512499297882653e-03 
 2.600159563165215e-02  1.510644134248972e-03 
 2.606153549998838e-02  1.508791271179638e-03 
 2.612161354399149e-02  1.506940705795017e-03 
 2.618183008218927e-02  1.505092435219105e-03 
 2.624218543384383e-02  1.503246456579525e-03 
 2.630267991895323e-02  1.501402767007524e-03 
 2.636331385825321e-02  1.499561363637965e-03 
 2.642408757321887e-02  1.497722243609329e-03 
 2.648500138606641e-02  1.495885404063701e-03 
 2.654605561975480e-02  1.494050842146774e-03 
 2.660725059798750e-02  1.492218555007841e-03 
 2.666858664521419e-02  1.490388539799788e-03 
 2.673006408663250e-02  1.488560793679093e-03 
 2.679168324818971e-02  1.486735313805820e-03 
 2.685344445658446e-02  1.484912097343617e-03 
 2.691534803926854e-02  1.483091141459707e-03 
 2.697739432444858e-02  1.481272443324887e-03 
 2.703958364108782e-02  1.479456000113519e-03 
 2.710191631890780e-02  1.477641809003530e-03 
 2.716439268839020e-02  1.475829867176410e-03 
 2.722701308077849e-02  1.474020171817199e-03 
 2.728977782807978e-02  1.472212720114489e-03 
 2.735268726306649e-02  1.470407509260415e-03 
 2.741574171927819e-02  1.468604536450656e-03 
 2.747894153102333e-02  1.466803798884428e-03 
 2.754228703338102e-02  1.465005293764474e-03 
 2.760577856220281e-02  1.463209018297072e-03 
 2.766941645411446e-02  1.461414969692019e-03 
 2.773320104651775e-02  1.459623145162627e-03 
 2.779713267759223e-02  1.457833541925731e-03 
 2.786121168629704e-02  1.456046157201668e-03 
 2.792543841237271e-02  1.454260988214284e-03 
 2.798981319634295e-02  1.452478032190924e-03 
 2.805433637951646e-02  1.450697286362431e-03 
 2.811900830398873e-02  1.448918747963140e-03 
 2.818382931264386e-02  1.447142414230871e-03 
 2.824879974915639e-02  1.445368282406931e-03 
 2.831391995799310e-02  1.443596349736100e-03 
 2.837919028441487e-02  1.441826613466639e-03 
 2.844461107447846e-02  1.440059070850273e-03 
 2.851018267503840e-02  1.438293719142198e-03 
 2.857590543374877e-02  1.436530555601066e-03 
 2.864177969906510e-02  1.434769577488989e-03 
 2.870780582024620e-02  1.433010782071528e-03 
 2.877398414735598e-02  1.431254166617695e-03 
 2.884031503126535e-02  1.429499728399944e-03 
 2.890679882365404e-02  1.427747464694171e-03 
 2.897343587701251e-02  1.425997372779701e-03 
 2.904022654464378e-02  1.424249449939294e-03 
 2.910717118066533e-02  1.422503693459135e-03 
 2.917427014001094e-02  1.420760100628830e-03 
 2.924152377843262e-02  1.419018668741405e-03 
 2.930893245250247e-02  1.417279395093296e-03 
 2.937649651961457e-02  1.415542276984347e-03 
 2.944421633798687e-02  1.413807311717811e-03 
 2.951209226666311e-02  1.412074496600336e-03 
 2.958012466551471e-02  1.410343828941969e-03 
 2.964831389524267e-02  1.408615306056149e-03 
 2.971666031737951e-02  1.406888925259699e-03 
 2.978516429429114e-02  1.405164683872827e-03 
 2.985382618917884e-02  1.403442579219119e-03 
 2.992264636608113e-02  1.401722608625535e-03 
 2.999162518987574e-02  1.400004769422407e-03 
 3.006076302628154e-02  1.398289058943430e-03 
 3.013006024186044e-02  1.396575474525662e-03 
 3.019951720401938e-02  1.394864013509519e-03 
 3.026913428101227e-02  1.393154673238766e-03 
 3.033891184194192e-02  1.391447451060522e-03 
 3.040885025676200e-02  1.389742344325249e-03 
 3.047894989627904e-02  1.388039350386745e-03 
 3.054921113215433e-02  1.386338466602150e-03 
 3.061963433690597e-02  1.384639690331930e-03 
 3.069021988391077e-02  1.382943018939885e-03 
 3.076096814740627e-02  1.381248449793132e-03 
 3.083187950249272e-02  1.379555980262113e-03 
 3.090295432513508e-02  1.377865607720577e-03 
